Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
0.0,Tesla,0.6956521739130435,0.25999999999999995,Petrol,Manual,0.3827845788659519,New,0.22746498627164496,Model X
0.00040016006402561027,BMW,0.782608695652174,0.68,Electric,Manual,0.47732637221955515,Used,0.10180273370950305,5 Series
0.0008003201280512205,Audi,0.5652173913043478,0.7,Electric,Manual,0.6053835280311517,New,0.41477090136264294,A4
0.0012004801920768306,Tesla,0.4782608695652174,0.6199999999999999,Diesel,Automatic,0.22892662826052168,New,0.8567118999714862,Model Y
0.001600640256102441,Ford,0.391304347826087,0.32,Diesel,Manual,0.7434322824985331,Like New,0.7219635359390604,Mustang
0.0020008003201280513,Audi,0.8260869565217391,0.27999999999999997,Diesel,Automatic,0.8219248413079426,Like New,0.8840404661112429,Q7
0.0024009603841536613,Audi,0.8695652173913043,0.6,Electric,Automatic,0.45164226276204195,Used,0.615843604153338,Q5
0.0028011204481792717,Tesla,0.7391304347826086,0.86,Hybrid,Automatic,0.2767609484184136,New,0.130249005699826,Model Y
0.003201280512204882,Honda,1.0,0.9400000000000001,Electric,Manual,0.40121419427108335,Like New,0.11471199936991505,Civic
0.003601440576230492,Ford,0.43478260869565216,0.1,Electric,Automatic,0.4500520083213314,Like New,0.04789814440822766,Explorer
0.004001600640256103,Tesla,0.043478260869565216,0.16,Diesel,Automatic,0.9963594175068011,Like New,0.5671325827628805,Model 3
0.004401760704281713,Ford,0.7391304347826086,0.9400000000000001,Electric,Automatic,0.5658305328852616,Used,0.2428408913343523,Mustang
0.004801920768307323,Ford,0.2608695652173913,0.74,Petrol,Automatic,0.3812109937590014,New,0.734486790327859,Fiesta
0.005202080832332933,Audi,1.0,0.8800000000000001,Electric,Automatic,0.8797374246546114,Like New,0.6863384651282093,Q7
0.0056022408963585435,BMW,0.6086956521739131,0.2,Electric,Automatic,0.21671134048114366,New,0.3180881343967842,X3
0.006002400960384154,Ford,0.43478260869565216,0.58,Electric,Automatic,0.8030918280258175,Used,0.17673640842309027,Mustang
0.006402561024409764,Mercedes,0.7391304347826086,0.7,Electric,Automatic,0.4560796394089721,New,0.10231257183747684,GLA
0.006802721088435374,Audi,0.9565217391304348,0.68,Hybrid,Automatic,0.6427295033872086,Like New,0.7374192545707483,A3
0.007202881152460984,Honda,0.4782608695652174,0.4,Electric,Automatic,0.2899430575558756,New,0.4504583067814578,Civic
0.007603041216486595,BMW,0.21739130434782608,0.020000000000000018,Petrol,Automatic,0.968755000800128,New,0.3235089288008211,X5
